device_id,date,stationary,walking,running,automotive,cycling,unknown
6965b966-d305-4743-b425-3f7b924293a4,2023-01-07,1049,80,0,293,6,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-08,1070,33,0,114,0,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-09,847,7,0,45,1,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-10,889,14,0,97,0,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-06,532,138,0,63,6,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-07,722,138,0,7,1,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-08,986,41,0,56,4,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-09,1027,54,2,51,1,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-10,799,15,0,65,2,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-11,1284,89,0,92,7,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-12,1100,62,0,10,7,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-13,805,68,0,35,13,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-14,1234,112,0,47,36,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-15,1158,110,0,28,0,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-16,934,113,1,46,6,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-17,1321,89,0,24,2,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-18,1432,22,0,24,19,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-19,852,62,0,10,0,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-20,1065,73,0,38,3,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-21,1117,118,0,247,14,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-22,1063,60,0,0,16,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-23,960,12,0,32,6,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-24,875,64,0,46,7,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-25,1522,35,0,26,6,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-26,868,30,0,0,3,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-27,1353,166,0,28,17,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-28,905,277,0,73,21,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-29,1160,138,0,92,18,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-30,1277,70,0,0,3,0
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-31,866,51,0,0,4,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-01,987,75,0,51,27,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-02,1006,105,0,55,11,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-03,1199,114,0,28,4,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-04,1097,144,0,23,11,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-05,917,100,0,272,2,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-06,1231,179,0,68,8,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-07,1239,28,0,172,1,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-08,1236,65,0,39,18,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-09,1131,155,0,5,0,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-10,1175,135,0,24,4,0
6a44b40b-76be-4117-8fb6-fba352458807,2023-01-11,744,64,0,61,0,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-04,525,63,0,227,144,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-05,820,49,0,109,0,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-06,1435,70,0,274,0,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-07,1184,37,0,229,3,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-08,1121,76,0,216,0,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-09,1342,92,1,519,1,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-10,967,159,0,117,151,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-11,804,200,0,144,153,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-12,1170,43,0,294,0,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-13,1067,49,0,194,0,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-14,1134,114,0,70,1,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-15,1164,46,0,153,1,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-16,877,101,0,258,6,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-17,913,130,0,383,109,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-18,852,176,0,275,159,0
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-19,1033,45,0,105,0,0
